,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:23253405,0,0,0,NCT03745053,23253405,0.09689158751116735,0.0,-0.5,214,3699.29256,381,6672.60208,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07646888390165203,no,no,996,0
NCT03745053:16180175,0,0,0,NCT03745053,16180175,0.14455864030802415,0.0,-0.5,162,2921.40444,297,5459.71433,0.285332373297017,,-0.5,0,1.1111111111111112,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07643945601881784,no,no,997,0
NCT03745053:22130317,0,0,0,NCT03745053,22130317,0.09689158751116735,0.0,-0.5,224,3817.06156,395,6846.26657,0.285332373297017,,-0.5,0,0.0,0,0.0,-0.5,0,0.3333333333333333,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07641919190529736,no,no,998,0
NCT03745053:19024097,0,0,0,NCT03745053,19024097,0.09689158751116735,0.0,-0.5,212,3684.9865,379,6665.90217,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07635682108454195,no,no,999,0
NCT03745053:16275604,0,0,0,NCT03745053,16275604,0.09689158751116735,0.0,-0.5,229,3868.84992,403,6925.23221,0.285332373297017,,-0.5,0,1.0833333333333333,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0763401410964921,no,no,1000,0
NCT03745053:21538383,0,0,0,NCT03745053,21538383,0.09689158751116735,0.0,-0.5,231,3879.8506,413,7005.88063,0.285332373297017,,-0.5,0,1.0588235294117647,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0763147241834959,no,no,1001,0
NCT03745053:26708019,0,0,0,NCT03745053,26708019,0.09689158751116735,0.0,-0.5,226,3828.23343,400,6874.1603,0.285332373297017,,-0.5,1,1.0588235294117647,0,0.0,-0.5,0,0.5,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07622667719448774,no,no,1002,0
NCT03745053:25464492,0,0,0,NCT03745053,25464492,0.09689158751116735,0.0,-0.5,211,3686.26284,375,6638.51686,0.285332373297017,,-0.5,0,1.1666666666666667,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07621759019565881,no,no,1003,0
NCT03745053:20129548,0,0,0,NCT03745053,20129548,0.2465610049186281,0.0,-0.5,211,3668.82682,379,6655.20185,0.285332373297017,,-0.5,1,1.0714285714285714,0,0.0,-0.5,0,0.3333333333333333,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.2465610049186281,0.076181434941337,no,no,1004,0
NCT03745053:20556803,0,0,0,NCT03745053,20556803,0.09689158751116735,0.0,-0.5,231,3908.21105,408,7015.73348,0.285332373297017,,-0.5,0,1.0526315789473684,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07613272814847366,no,no,1005,0
